	GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING BIRD ATLAS CODE	BREEDING BIRD ATLAS CATEGORY	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	Unnamed: 46
263	URN:CornellLabOfOrnithology:EBIRD:OBS707205367	2019-02-06 01:43:15.0	9261	species	Blue-eared Kingfisher	Alcedo meninting			1				India	IN	Kerala	IN-KL	Idukki	IN-KL-ID					Orange Pudav	L8528256	P	9.4860494	77.3770183	2019-01-25	11:29:00	obsr1227055	S52425875	Traveling	P22	EBIRD	15.0	0.6		2	1	G3814838	0	0	0			Direct sighting	
274	URN:CornellLabOfOrnithology:EBIRD:OBS700530387	2019-01-21 00:31:51.0	23901	species	Booted Warbler	Iduna caligata			1				India	IN	Kerala	IN-KL	Idukki	IN-KL-ID					Near Mattupptti Dam -Subcell no.60.33.4	L8467140	P	10.1060301	77.12886359999999	2019-01-19	11:02:00	obsr444880	S51855496	Stationary	P21	EBIRD_IND	15.0			3	1	G3779316	0	0	0		Standing Water -yes--Flowing Water -yes--Fruiting Fig -no--Lantana camara -no--Eichhornia crassipes (Water Hyacinth) -no--Salivinia molesta -no--Mikania micrantha -no	Image available	
276	URN:CornellLabOfOrnithology:EBIRD:OBS707193347	2019-02-06 00:01:57.0	23901	species	Booted Warbler	Iduna caligata			1				India	IN	Kerala	IN-KL	Idukki	IN-KL-ID					Munnar 8th mile	L8492231	P	10.1410844	77.0657397	2019-01-24	06:50:00	obsr541737	S52424847	Traveling	P22	EBIRD	50.0	5.5		5	1	G3795059	0	0	0				
278	URN:CornellLabOfOrnithology:EBIRD:OBS702808056	2019-01-28 10:58:54.0	23901	species	Booted Warbler	Iduna caligata			1				India	IN	Kerala	IN-KL	Idukki	IN-KL-ID					Chinnar--Thoovanam View point	L4795061	H	10.2927204	77.17769440000001	2019-01-24	14:15:00	obsr906960	S52042431	Traveling	P22	EBIRD	75.0	3.0		5	1	G3795135	0	0	0				
281	URN:CornellLabOfOrnithology:EBIRD:OBS701366144	2019-01-22 03:21:05.0	23901	species	Booted Warbler	Iduna caligata			1				India	IN	Kerala	IN-KL	Idukki	IN-KL-ID					Lakshmi amman Temple, Letchmi estate,KDH -Subcell no -58.29.8	L8467799	P	10.059	77.017	2019-01-20	09:43:00	obsr962839	S51923447	Traveling	P22	EBIRD_IND	15.0	0.44		3	1	G3782593	0	0	0		Standing Water -yes--Flowing Water -yes--Fruiting Fig -no--Lantana camara -yes--Eichhornia crassipes (Water Hyacinth) -no--Salivinia molesta -no--Mikania micrantha -no	Image available	
283	URN:CornellLabOfOrnithology:EBIRD:OBS703940038	2019-01-28 11:14:48.0	23901	species	Booted Warbler	Iduna caligata			2				India	IN	Kerala	IN-KL	Idukki	IN-KL-ID					Chinnar Wildlife Sanctuary--Chinnar	L3027183	H	10.3505313	77.22125890000001	2019-01-24	16:05:00	obsr731344	S52133180	Traveling	P22	EBIRD	145.0	5.0		5	1	G3796995	0	0	0				
299	URN:CornellLabOfOrnithology:EBIRD:OBS693458517	2019-01-13 02:22:06.0	29893	species	Common Rosefinch	Carpodacus erythrinus			30				India	IN	Kerala	IN-KL	Idukki	IN-KL-ID					Windermere estate Munnar kerala	L4008370	H	10.0564274	77.07051340000001	2019-01-04	06:34:00	obsr188371	S51286096	Traveling	P22	EBIRD	155.0	2.645		2	1	G3719655	0	0	0			Quite common.	
301	URN:CornellLabOfOrnithology:EBIRD:OBS701366060	2019-01-24 02:48:06.0	5929	species	Common Sandpiper	Actitis hypoleucos			1				India	IN	Kerala	IN-KL	Idukki	IN-KL-ID					Near Mattupptti Dam -Subcell no.60.33.4	L8467140	P	10.1060301	77.12886359999999	2019-01-19	10:09:00	obsr962839	S51923437	Traveling	P22	EBIRD_IND	15.0	0.23		3	1	G3782586	0	0	0		Standing Water -yes--Flowing Water -yes--Fruiting Fig -no--Lantana camara -no--Eichhornia crassipes (Water Hyacinth) -no--Salivinia molesta -no--Mikania micrantha -no	White wing patch	
310	URN:CornellLabOfOrnithology:EBIRD:OBS703455359	2019-02-02 03:59:12.0	24906	species	Golden-headed Cisticola	Cisticola exilis			1				India	IN	Kerala	IN-KL	Idukki	IN-KL-ID					Uppupara (9.465, 77.091)	L8503048	P	9.4646763	77.0911344	2019-01-27	09:56:00	obsr1181061	S52094076	Incidental	P20	EBIRD				2	0	G3802642	0	0	0			Head brighter, unstreaked nape.	
314	URN:CornellLabOfOrnithology:EBIRD:OBS708261728	2019-02-09 10:08:40.0	3366	species	Great Eared-Nightjar	Lyncornis macrotis			2				India	IN	Kerala	IN-KL	Idukki	IN-KL-ID					Periyar Tiger Reserve--Aruviyoda	L3120215	H	9.4933	77.2353	2019-01-26	19:00:00	obsr978649	S52514269	Stationary	P21	EBIRD	15.0			3	1	G3839894	0	0	0				
315	URN:CornellLabOfOrnithology:EBIRD:OBS708261497	2019-02-09 10:09:06.0	3366	species	Great Eared-Nightjar	Lyncornis macrotis			2				India	IN	Kerala	IN-KL	Idukki	IN-KL-ID					Periyar Tiger Reserve--Aruviyoda	L3120215	H	9.4933	77.2353	2019-01-26	18:45:00	obsr978649	S52514247	Stationary	P21	EBIRD	15.0			3	1	G3839896	0	0	0			Call observation,'' kheeee yooo''	
318	URN:CornellLabOfOrnithology:EBIRD:OBS701766385	2019-01-31 23:36:53.0	5932	species	Green Sandpiper	Tringa ochropus			1				India	IN	Kerala	IN-KL	Idukki	IN-KL-ID					60,30,2	L8478045	P	10.095581	77.04860500000001	2019-01-19	08:57:00	obsr458832	S51956902	Traveling	P22	EBIRD_IND	15.0	0.213		3	1	G3789253	0	0	0		Flowing WB, Lantana	White rump, black markings on the tail	
322	URN:CornellLabOfOrnithology:EBIRD:OBS693622442	2019-01-08 06:20:16.0	7506	species	Greater Spotted Eagle	Clanga clanga			1				India	IN	Kerala	IN-KL	Idukki	IN-KL-ID					Idukki WLS--Ulupuni	L4855952	H	9.740933300000002	76.9269304	2019-01-02	11:34:00	obsr452388	S51214645	Traveling	P22	EBIRD	273.0	6.5		3	1	G3712234	1	0	0				
324	URN:CornellLabOfOrnithology:EBIRD:OBS704607183	2019-02-02 03:49:04.0	7842	species	Gray-headed Fish-Eagle	Haliaeetus ichthyaetus			1				India	IN	Kerala	IN-KL	Idukki	IN-KL-ID					(9.5236,77.2462)	L8521091	P	9.523607	77.246166	2019-01-27	10:56:00	obsr786264	S52195659	Traveling	P22	EBIRD_IND	15.0	2.548		2	1	G3812710	0	0	0			Record short - this is from Senior Odai 	
327	URN:CornellLabOfOrnithology:EBIRD:OBS704246027	2019-02-05 01:26:26.0	9135	species	Indian Gray Hornbill	Ocyceros birostris			3				India	IN	Kerala	IN-KL	Idukki	IN-KL-ID					Periyar, Kerala, IN (9.577, 77.131)	L8509953	P	9.5768211	77.13090629999999	2019-01-26	06:49:00	obsr1181061	S52160589	Stationary	P21	EBIRD_IND	16.0			2	1	G3809782	0	0	0			Found in a coffee plantation	
336	URN:CornellLabOfOrnithology:EBIRD:OBS707205948	2019-02-06 01:49:22.0	26356	species	Palani Laughingthrush	Montecincla fairbanki			5				India	IN	Kerala	IN-KL	Idukki	IN-KL-ID					Orange Pudav	L8528256	P	9.4860494	77.3770183	2019-01-25	12:14:00	obsr1227055	S52425923	Traveling	P22	EBIRD	15.0	0.24		2	1	G3814840	0	0	0				
343	URN:CornellLabOfOrnithology:EBIRD:OBS704555275	2019-01-29 21:40:45.0	29198	species	Long-billed Sunbird	Cinnyris lotenius			5				India	IN	Kerala	IN-KL	Idukki	IN-KL-ID					Mistletoe Homestay and Cafe	L8523758	P	10.018108900000001	77.01056	2019-01-30	07:45:00	obsr361037	S52191936	Stationary	P21	EBIRD	25.0			2	1	G3812217	0	0	0				
